City,Population
Frogsworth,82000
Bullfrogton,45000
Leapfrog Hollow,12000
Frognor,5000
Frogmarsh,91000
Frogdale,26000
Frogwick,14000
Bogfrog Landing,7000
Frostfrog Bay,19000
Moonhaven,150000
Moonfall,63000
Silvermoon,98000
Moonridge,41000
Moonmere,22000
Halfmoon Junction,17000
Fullmoon Reach,9000
Grumbleton,71000
Snoreville,39000
Whisperwood,121000
Pickleburg,27000
Toadstool Vale,18000
Mudchester,56000
Bramblewick,44000
Snugglefort,33000
Grumblewick,15000
Snorefield,28000
Snoreport,11000
Cranktown,64000
Crankhollow,20000
Wobblesham,37000
Wobblebrook,13000
Ticklewood,52000
Ticklefen,8000
Muddlecove,31000
Muddlemoor,16000
Puddlewick,24000
Puddleford,66000
Grimblewick,19000
Grumpshire,58000
Gigglemarsh,29000
Gigglehaven,47000
Sneezington,36000
Sneezeburg,10000
Hiccupton,21000
Hiccupvale,6000
Snugbottom,35000
Snugmarsh,25000
Dozington,42000
Dozevale,14500
Yawnborough,73000
Yawnmoor,32000
Chucklewood,48000
Chucklefen,17500
Rumbleport,88000
Rumbleshire,53000
Wafflechester,60000
Wafflemoor,23000
Noodleburg,40000
Noodlefen,9500
Squishton,30000
Squishvale,12500
Blubberwick,55000
Blubbermoor,18500
Frogdrift,50000
