Flight,Airport,Time,Gate,DelayMinutes
LH401,JFK,10:30,B12,0
DL220,LGA,11:05,C08,15
UA930,EWR,09:15,C77,0
SU100,SVO,12:15,A03,5
SU200,DME,13:40,B10,0
BA203,LHR,14:00,C21,0
U29876,LGW,15:20,N14,25
FR509,STN,16:10,G04,10
AF178,CDG,16:40,D05,0
AF982,ORY,17:25,3B,0
LH405,JFK,18:20,B14,10
BA207,LHR,19:10,C23,40
JL42,HND,21:30,E07,0
JL77,NRT,22:05,S12,0
AZ601,FCO,08:45,A01,0
IB302,MAD,09:50,T04,5
KL891,AMS,10:20,D22,0
EK007,DXB,23:55,B06,0
SQ21,SIN,00:30,C10,0
QF12,SYD,20:15,T01,0
AC888,YYZ,07:40,D31,0
UA500,ORD,06:55,B18,0
XX999,ZZZ,22:00,F01,5
