product,price,shop
Black lens,5.5,PhotoWorld
white flowers,2.0,FlowerMarket
candles,1.2,CandleCorner
balloons,0.8,PartyStore
red roses,3.5,FlowerMarket
tulips,2.2,FlowerMarket
string lights,4.0,GlowHouse
lanterns,6.0,GlowHouse
table cloths,3.0,LinenLoft
chair covers,2.5,LinenLoft
centerpieces,8.0,DecorDreams
confetti,1.0,PartyStore
champagne glasses,2.8,GlassWorks
dinner plates,1.5,TableTop
cutlery sets,1.8,TableTop
napkins,0.5,LinenLoft
photo booth,150.0,PhotoWorld
DJ speaker,45.0,SoundWave
microphone,20.0,SoundWave
dance floor tile,12.0,FloorMasters
red carpet,25.0,FloorMasters
welcome sign,18.0,SignCraft
seating chart,10.0,SignCraft
cake stand,15.0,DecorDreams
fairy lights,3.7,GlowHouse
bouquet holder,4.5,FlowerMarket
guest book,9.0,PaperCo
place cards,0.6,PaperCo
arch decoration,60.0,DecorDreams
projector,80.0,SoundWave
