ID	Age	Gender	Year	Major	StudyHours	SleepHours	ScreenTime	Satisfaction	Stress	StudyFormat	ExamScore	Assignments	Absences	Projects	Motivation	SocialHours	Semester
201	18	F	1	Psychology	12	7.5	4.2	8	5	Offline	82	14	3	2	7	6	1
202	21	M	3	Economics	8	6.0	6.1	7	7	Online	68	9	5	4	6	7	2
203	20	F	2	Psychology	15	8.0	3.5	9	4	Offline	91	16	2	1	8	5	1
204	22	F	4	Computer Science	6	5.5	7.2	6	8	Online	74	8	7	5	5	8	3
205	19	M	1	Economics	10	7.0	5.0	8	6	Offline	79	12	4	3	7	6	2
206	23	F	4	Psychology	4	6.5	8.1	5	9	Online	61	7	8	6	4	9	4
207	21	M	3	Computer Science	11	7.5	4.8	7	6	Offline	86	13	3	2	7	6	1
208	20	F	2	Economics	14	8.5	3.2	9	4	Offline	93	17	2	1	9	4	1
209	22	M	4	Psychology	7	6.0	6.8	6	8	Online	70	10	6	4	5	8	3
210	19	F	1	Computer Science	9	7.0	5.5	8	5	Offline	84	11	4	3	8	5	2
211	24	M	4	Economics	5	5.0	7.9	5	9	Online	58	6	9	7	4	9	4
212	21	F	3	Psychology	13	8.0	4.0	9	3	Offline	95	15	2	1	9	3	1
213	20	M	2	Computer Science	8	6.5	6.4	7	7	Online	72	9	6	5	6	7	3
214	23	F	4	Economics	6	7.0	7.1	6	8	Online	66	8	7	5	5	8	3
215	19	M	1	Psychology	11	7.5	4.5	8	5	Offline	81	13	3	2	8	5	1
216	20	F	2	Computer Science	16	8.5	3.8	9	3	Offline	97	18	1	1	9	4	1
217	22	M	4	Economics	9	6.5	6.0	7	7	Online	75	10	5	4	6	7	2
218	18	F	1	Psychology	7	7.5	5.7	7	6	Offline	77	9	5	3	7	6	2
219	21	M	3	Computer Science	13	7.0	4.6	8	5	Offline	89	14	3	2	8	5	1
220	23	F	4	Economics	8	6.0	6.9	7	8	Online	71	9	7	5	5	8	3
221	19	M	1	Psychology	14	8.0	3.9	9	4	Offline	92	16	2	1	9	4	1
222	20	F	2	Economics	11	7.5	5.3	8	6	Offline	83	12	4	3	8	6	2
223	22	M	4	Computer Science	6	5.5	8.0	6	9	Online	63	7	8	6	4	9	4
224	21	F	3	Psychology	10	7.0	5.1	8	5	Offline	85	12	4	2	8	5	2
225	24	M	4	Economics	7	6.0	7.4	6	8	Online	67	8	7	5	5	8	3
